uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
BA,PNEUMONIA,HOSPITAL,"< 9",F,48
BA,PNEUMONIA,HOSPITAL,"< 9",M,32
BA,PNEUMONIA,OUTRO,"< 9",M,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,128
BA,SEPTICEMIA,HOSPITAL,"< 9",I,1
BA,SEPTICEMIA,HOSPITAL,"< 9",M,159
BA,SEPTICEMIA,IGNORADO,"< 9",F,1
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,SRAG,HOSPITAL,"< 9",F,11
BA,SRAG,HOSPITAL,"< 9",I,1
BA,SRAG,HOSPITAL,"< 9",M,6
BA,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,6
CE,OUTRAS,DOMICILIO,"< 9",M,16
CE,OUTRAS,HOSPITAL,"< 9",F,196
CE,OUTRAS,HOSPITAL,"< 9",I,9
CE,OUTRAS,HOSPITAL,"< 9",M,233
CE,OUTRAS,IGNORADO,"< 9",F,1
CE,OUTRAS,IGNORADO,"< 9",M,3
CE,OUTRAS,OUTRO,"< 9",F,4
CE,OUTRAS,OUTRO,"< 9",M,6
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
CE,OUTRAS,VIA_PUBLICA,"< 9",F,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,2
CE,COVID,HOSPITAL,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,24
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,19
CE,PNEUMONIA,DOMICILIO,"< 9",F,1
CE,PNEUMONIA,DOMICILIO,"< 9",M,2
CE,PNEUMONIA,HOSPITAL,"< 9",F,23
CE,PNEUMONIA,HOSPITAL,"< 9",M,36
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,76
CE,SEPTICEMIA,HOSPITAL,"< 9",I,2
CE,SEPTICEMIA,HOSPITAL,"< 9",M,81
CE,SEPTICEMIA,IGNORADO,"< 9",F,1
CE,SEPTICEMIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,OUTRO,"< 9",F,1
CE,SEPTICEMIA,OUTRO,"< 9",M,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
CE,SRAG,HOSPITAL,"< 9",F,4
CE,SRAG,HOSPITAL,"< 9",M,3
DF,OUTRAS,DOMICILIO,"< 9",F,2
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,80
DF,OUTRAS,HOSPITAL,"< 9",I,1
DF,OUTRAS,HOSPITAL,"< 9",M,80
DF,OUTRAS,IGNORADO,"< 9",F,5
DF,OUTRAS,IGNORADO,"< 9",M,5
DF,OUTRAS,OUTRO,"< 9",M,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,OUTRAS,VIA_PUBLICA,"< 9",M,1
DF,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INDETERMINADA,HOSPITAL,"< 9",F,2
DF,INDETERMINADA,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,OUTRO,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,17
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,20
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,16
DF,PNEUMONIA,HOSPITAL,"< 9",M,13
DF,PNEUMONIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,40
DF,SEPTICEMIA,HOSPITAL,"< 9",M,43
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,SRAG,HOSPITAL,"< 9",F,4
DF,SRAG,HOSPITAL,"< 9",M,5
DF,SRAG,OUTRO,"< 9",M,1
ES,OUTRAS,DOMICILIO,"< 9",F,2
ES,OUTRAS,DOMICILIO,"< 9",M,6
ES,OUTRAS,HOSPITAL,"< 9",F,66
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,92
ES,OUTRAS,OUTRO,"< 9",F,1
ES,OUTRAS,OUTRO,"< 9",M,3
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,19
ES,PNEUMONIA,HOSPITAL,"< 9",M,19
ES,PNEUMONIA,OUTRO,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,SEPTICEMIA,HOSPITAL,"< 9",F,52
ES,SEPTICEMIA,HOSPITAL,"< 9",M,48
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,4
GO,OUTRAS,DOMICILIO,"< 9",F,6
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,88
GO,OUTRAS,HOSPITAL,"< 9",M,104
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,1
GO,OUTRAS,OUTRO,"< 9",F,2
GO,OUTRAS,OUTRO,"< 9",M,7
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,16
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,3
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,36
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,34
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",M,3
GO,PNEUMONIA,HOSPITAL,"< 9",F,14
GO,PNEUMONIA,HOSPITAL,"< 9",M,26
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
GO,SEPTICEMIA,HOSPITAL,"< 9",F,43
GO,SEPTICEMIA,HOSPITAL,"< 9",M,63
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,SRAG,HOSPITAL,"< 9",F,1
GO,SRAG,HOSPITAL,"< 9",M,2
GO,SRAG,OUTRO,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",F,2
MA,OUTRAS,DOMICILIO,"< 9",F,9
MA,OUTRAS,DOMICILIO,"< 9",M,10
MA,OUTRAS,HOSPITAL,"< 9",F,107
MA,OUTRAS,HOSPITAL,"< 9",I,2
MA,OUTRAS,HOSPITAL,"< 9",M,148
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,OUTRO,"< 9",F,8
MA,OUTRAS,OUTRO,"< 9",M,7
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,COVID,HOSPITAL,"< 9",F,1
MA,COVID,HOSPITAL,"< 9",M,1
MA,INDETERMINADA,HOSPITAL,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,AMBULANCIA,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,19
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,AMBULANCIA,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,1
MA,PNEUMONIA,HOSPITAL,"< 9",F,17
MA,PNEUMONIA,HOSPITAL,"< 9",M,14
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,41
MA,SEPTICEMIA,HOSPITAL,"< 9",I,1
MA,SEPTICEMIA,HOSPITAL,"< 9",M,36
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,3
MA,SRAG,HOSPITAL,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",M,2
MG,OUTRAS,DOMICILIO,"< 9",F,19
MG,OUTRAS,DOMICILIO,"< 9",M,31
MG,OUTRAS,HOSPITAL,"< 9",F,336
MG,OUTRAS,HOSPITAL,"< 9",I,5
MG,OUTRAS,HOSPITAL,"< 9",M,435
MG,OUTRAS,IGNORADO,"< 9",F,2
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,6
MG,OUTRAS,OUTRO,"< 9",F,3
MG,OUTRAS,OUTRO,"< 9",M,6
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
MG,OUTRAS,VIA_PUBLICA,"< 9",M,3
MG,COVID,HOSPITAL,"< 9",F,2
MG,COVID,HOSPITAL,"< 9",M,4
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,2
MG,INDETERMINADA,HOSPITAL,"< 9",M,3
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,6
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,76
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,92
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,3
MG,PNEUMONIA,HOSPITAL,"< 9",F,47
MG,PNEUMONIA,HOSPITAL,"< 9",M,65
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
MG,SEPTICEMIA,HOSPITAL,"< 9",F,181
MG,SEPTICEMIA,HOSPITAL,"< 9",I,1
MG,SEPTICEMIA,HOSPITAL,"< 9",M,220
MG,SEPTICEMIA,IGNORADO,"< 9",F,2
MG,SEPTICEMIA,IGNORADO,"< 9",M,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MG,SRAG,HOSPITAL,"< 9",F,8
MG,SRAG,HOSPITAL,"< 9",M,4
MS,OUTRAS,DOMICILIO,"< 9",F,10
MS,OUTRAS,DOMICILIO,"< 9",M,10
MS,OUTRAS,HOSPITAL,"< 9",F,105
MS,OUTRAS,HOSPITAL,"< 9",M,123
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,OUTRO,"< 9",M,1
MS,COVID,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,DOMICILIO,"< 9",F,2
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,16
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,21
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,13
MS,PNEUMONIA,HOSPITAL,"< 9",M,9
MS,SEPTICEMIA,HOSPITAL,"< 9",F,23
MS,SEPTICEMIA,HOSPITAL,"< 9",M,41
MS,SEPTICEMIA,OUTRO,"< 9",M,1
MS,SRAG,HOSPITAL,"< 9",F,2
MS,SRAG,HOSPITAL,"< 9",M,2
MT,OUTRAS,DOMICILIO,"< 9",F,3
MT,OUTRAS,DOMICILIO,"< 9",M,7
MT,OUTRAS,HOSPITAL,"< 9",F,45
MT,OUTRAS,HOSPITAL,"< 9",M,49
MT,OUTRAS,IGNORADO,"< 9",F,13
MT,OUTRAS,IGNORADO,"< 9",M,17
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,4
MT,OUTRAS,VIA_PUBLICA,"< 9",M,5
MT,COVID,HOSPITAL,"< 9",F,1
MT,INDETERMINADA,DOMICILIO,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,9
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",I,1
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,8
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MT,PNEUMONIA,HOSPITAL,"< 9",F,8
MT,PNEUMONIA,HOSPITAL,"< 9",M,15
MT,PNEUMONIA,IGNORADO,"< 9",F,13
MT,PNEUMONIA,IGNORADO,"< 9",M,6
MT,PNEUMONIA,OUTRO,"< 9",F,1
MT,PNEUMONIA,OUTRO,"< 9",M,1
MT,SEPTICEMIA,HOSPITAL,"< 9",F,34
MT,SEPTICEMIA,HOSPITAL,"< 9",M,33
MT,SEPTICEMIA,IGNORADO,"< 9",F,17
MT,SEPTICEMIA,IGNORADO,"< 9",M,21
MT,SEPTICEMIA,OUTRO,"< 9",M,2
MT,SRAG,HOSPITAL,"< 9",F,2
MT,SRAG,HOSPITAL,"< 9",M,2
MT,SRAG,IGNORADO,"< 9",M,1
PA,OUTRAS,DOMICILIO,"< 9",F,12
PA,OUTRAS,DOMICILIO,"< 9",I,1
PA,OUTRAS,DOMICILIO,"< 9",M,20
PA,OUTRAS,HOSPITAL,"< 9",F,155
PA,OUTRAS,HOSPITAL,"< 9",I,7
PA,OUTRAS,HOSPITAL,"< 9",M,167
PA,OUTRAS,IGNORADO,"< 9",F,1
PA,OUTRAS,OUTRO,"< 9",F,3
PA,OUTRAS,OUTRO,"< 9",M,9
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PA,OUTRAS,VIA_PUBLICA,"< 9",F,4
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,2
PA,COVID,HOSPITAL,"< 9",M,4
PA,INDETERMINADA,DOMICILIO,"< 9",M,2
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,55
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,48
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
PA,PNEUMONIA,DOMICILIO,"< 9",F,2
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,34
